ts,pid,name,role,wsMB
13:34:59,8516,codex-vm.exe,guest,408
13:34:59,13616,codex-vm.exe,guest,408
13:34:59,10760,codex-vm.exe,guest,407
13:34:59,19052,codex-vm.exe,guest,407
13:34:59,14632,codex-vm.exe,guest,208
13:34:59,15648,codex-vm.exe,guest,3
13:35:05,17664,codex-vm.exe,guest,88
13:35:05,2288,codex-vm.exe,guest,10
13:35:12,2252,codex-vm.exe,guest,407
13:35:12,520,codex-vm.exe,guest,407
13:35:12,4484,codex-vm.exe,guest,407
13:35:12,15796,codex-vm.exe,guest,131
13:35:18,17640,codex-vm.exe,guest,310
13:35:18,6240,codex-vm.exe,guest,276
13:35:18,18272,codex-vm.exe,guest,129
13:35:18,4732,codex-vm.exe,guest,10
13:35:24,4124,codex-vm.exe,guest,499
13:35:24,14076,codex-vm.exe,guest,122
13:35:24,2760,codex-vm.exe,guest,60
13:35:24,13468,codex-vm.exe,guest,32
13:35:31,11584,codex-vm.exe,guest,65
13:35:31,10300,codex-vm.exe,guest,10
13:35:37,16936,codex-vm.exe,guest,10
13:35:37,1832,codex-vm.exe,guest,10
13:35:37,5124,codex-vm.exe,guest,10
13:35:37,13520,codex-vm.exe,guest,10
13:35:43,16584,codex-vm.exe,guest,199
13:35:49,19304,codex-vm.exe,guest,134
13:35:49,10488,codex-vm.exe,guest,118
13:35:56,11596,codex-vm.exe,guest,41
13:36:02,6828,codex-vm.exe,guest,206
13:36:02,12988,codex-vm.exe,guest,29
13:36:02,16164,codex-vm.exe,guest,16
13:36:02,1896,codex-vm.exe,guest,10
13:36:02,10072,codex-vm.exe,guest,10
13:36:08,16432,codex-vm.exe,guest,96
13:36:15,3496,codex-vm.exe,guest,10
13:36:15,15620,codex-vm.exe,guest,2
13:36:21,12856,codex-vm.exe,guest,35
13:36:21,11672,codex-vm.exe,guest,35
13:36:27,6348,codex-vm.exe,guest,36
13:36:27,14396,codex-vm.exe,guest,10
13:36:27,14636,codex-vm.exe,guest,10
13:36:33,14924,codex-vm.exe,guest,32
13:36:33,10420,codex-vm.exe,guest,15
13:36:33,17220,codex-vm.exe,guest,10
13:36:40,14232,codex-vm.exe,guest,51
13:36:40,8344,codex-vm.exe,guest,26
13:36:40,13496,codex-vm.exe,guest,11
13:36:40,10004,codex-vm.exe,guest,10
13:36:46,11180,codex-vm.exe,guest,408
13:36:46,16160,codex-vm.exe,guest,407
13:36:46,8352,codex-vm.exe,guest,407
13:36:46,3244,codex-vm.exe,guest,388
13:36:46,460,codex-vm.exe,guest,384
13:36:46,6348,codex-vm.exe,guest,387
13:36:52,15688,codex-vm.exe,guest,38
13:36:58,8332,codex-vm.exe,guest,88
13:36:58,17556,codex-vm.exe,guest,10
13:36:58,16860,codex-vm.exe,guest,10
13:36:58,18324,codex-vm.exe,guest,6
13:37:05,18988,codex-vm.exe,guest,29
13:37:11,11960,codex-vm.exe,guest,67
13:37:11,4228,codex-vm.exe,guest,21
13:37:11,2624,codex-vm.exe,guest,10
13:37:17,18768,codex-vm.exe,guest,33
13:37:17,12392,codex-vm.exe,guest,34
13:37:17,4560,codex-vm.exe,guest,34
13:37:17,17060,codex-vm.exe,guest,30
13:37:17,18452,codex-vm.exe,guest,10
13:37:23,12384,codex-vm.exe,guest,31
13:37:23,16012,codex-vm.exe,guest,22
13:37:23,13984,codex-vm.exe,guest,10
13:37:23,12180,codex-vm.exe,guest,10
13:37:23,2144,codex-vm.exe,guest,10
13:37:23,14700,codex-vm.exe,guest,10
13:37:23,2412,codex-vm.exe,guest,6
13:37:30,3716,codex-vm.exe,guest,14
13:37:30,10364,codex-vm.exe,guest,10
13:37:30,16092,codex-vm.exe,guest,10
13:37:30,17728,codex-vm.exe,guest,6
13:37:30,9640,codex-vm.exe,guest,6
13:37:30,17896,codex-vm.exe,guest,3
13:37:49,18068,codex-vm.exe,guest,10
13:37:49,17768,codex-vm.exe,guest,10
13:37:49,14596,codex-vm.exe,guest,10
13:37:49,16424,codex-vm.exe,guest,10
13:37:49,18820,codex-vm.exe,guest,10
13:37:49,19444,codex-vm.exe,guest,10
13:37:49,4420,codex-vm.exe,guest,10
13:37:49,6624,codex-vm.exe,guest,10
13:38:07,3296,codex-vm.exe,guest,62
13:38:07,2772,codex-vm.exe,guest,72
13:38:07,4312,codex-vm.exe,guest,62
13:38:07,12484,codex-vm.exe,guest,61
13:38:07,7892,codex-vm.exe,guest,67
13:38:14,17680,codex-vm.exe,guest,35
13:38:14,17544,codex-vm.exe,guest,31
13:38:14,11668,codex-vm.exe,guest,10
13:38:14,16792,codex-vm.exe,guest,6
13:38:20,15040,codex-vm.exe,guest,10
13:38:20,11464,codex-vm.exe,guest,10
13:38:26,4320,codex-vm.exe,guest,7
13:38:26,4696,codex-vm.exe,guest,21
13:38:26,3664,codex-vm.exe,guest,6
13:38:32,17944,codex-vm.exe,guest,10
13:38:39,12760,codex-vm.exe,guest,313
13:38:39,12908,codex-vm.exe,guest,43
13:38:45,2144,codex-vm.exe,guest,6
13:38:45,8760,codex-vm.exe,guest,6
13:38:45,10764,codex-vm.exe,guest,3
13:38:51,7156,codex-vm.exe,guest,436
13:38:58,7056,codex-vm.exe,guest,10
13:38:58,13764,codex-vm.exe,guest,10
13:38:58,14956,codex-vm.exe,guest,3
13:39:04,10100,codex-vm.exe,guest,26
13:39:10,14144,codex-vm.exe,guest,435
13:39:16,9452,codex-vm.exe,guest,6
13:39:16,2968,codex-vm.exe,guest,6
13:39:23,17756,codex-vm.exe,guest,30
13:39:29,13428,codex-vm.exe,guest,36
13:39:29,10744,codex-vm.exe,guest,32
13:39:29,4536,codex-vm.exe,guest,10
13:39:29,18976,codex-vm.exe,guest,10
13:39:29,16896,codex-vm.exe,guest,10
13:39:29,10816,codex-vm.exe,guest,10
13:39:35,18100,codex-vm.exe,guest,52
13:39:35,6620,codex-vm.exe,guest,52
13:39:35,13160,codex-vm.exe,guest,35
13:39:35,19400,codex-vm.exe,guest,19
13:39:35,2160,codex-vm.exe,guest,10
13:39:35,9292,codex-vm.exe,guest,10
13:39:35,2632,codex-vm.exe,guest,10
13:40:55,13404,codex-vm.exe,supervisor,6
13:40:55,15432,codex-vm.exe,supervisor,6
13:40:55,10440,codex-vm.exe,supervisor,6
13:40:55,18500,codex-vm.exe,supervisor,6
13:40:55,7972,codex-vm.exe,supervisor,6
13:40:55,16896,codex-vm.exe,supervisor,6
13:40:55,540,codex-vm.exe,supervisor,6
13:40:55,18488,codex-vm.exe,supervisor,6
13:40:55,6292,codex-vm.exe,guest,36
13:40:55,17380,codex-vm.exe,guest,7
13:40:55,12468,codex-vm.exe,guest,7
13:40:55,7352,codex-vm.exe,guest,7
13:40:55,9308,codex-vm.exe,guest,7
13:40:55,9056,codex-vm.exe,guest,7
13:40:55,5624,codex-vm.exe,guest,7
13:41:01,13404,codex-vm.exe,supervisor,6
13:41:01,15432,codex-vm.exe,supervisor,6
13:41:01,10440,codex-vm.exe,supervisor,6
13:41:01,18500,codex-vm.exe,supervisor,6
13:41:01,7972,codex-vm.exe,supervisor,6
13:41:01,16896,codex-vm.exe,supervisor,6
13:41:01,540,codex-vm.exe,supervisor,6
13:41:01,18488,codex-vm.exe,supervisor,6
13:41:01,5840,codex-vm.exe,guest,1008
13:41:01,13644,codex-vm.exe,guest,7
13:41:01,6616,codex-vm.exe,guest,47
13:41:01,16236,codex-vm.exe,guest,16
13:41:01,6932,codex-vm.exe,guest,7
13:41:01,6504,codex-vm.exe,guest,24
13:41:01,6008,codex-vm.exe,guest,7
13:41:01,1520,codex-vm.exe,guest,7
13:41:07,13404,codex-vm.exe,supervisor,6
13:41:07,15432,codex-vm.exe,supervisor,6
13:41:07,10440,codex-vm.exe,supervisor,6
13:41:07,18500,codex-vm.exe,supervisor,6
13:41:07,7972,codex-vm.exe,supervisor,6
13:41:07,16896,codex-vm.exe,supervisor,6
13:41:07,540,codex-vm.exe,supervisor,6
13:41:07,18488,codex-vm.exe,supervisor,6
13:41:07,11704,codex-vm.exe,guest,7
13:41:07,5744,codex-vm.exe,guest,462
13:41:07,11912,codex-vm.exe,guest,7
13:41:07,5748,codex-vm.exe,guest,221
13:41:07,7052,codex-vm.exe,guest,7
13:41:07,13700,codex-vm.exe,guest,93
13:41:07,10816,codex-vm.exe,guest,7
13:41:07,13096,codex-vm.exe,guest,7
13:41:13,13404,codex-vm.exe,supervisor,6
13:41:13,15432,codex-vm.exe,supervisor,6
13:41:13,10440,codex-vm.exe,supervisor,6
13:41:13,18500,codex-vm.exe,supervisor,6
13:41:13,7972,codex-vm.exe,supervisor,6
13:41:13,16896,codex-vm.exe,supervisor,6
13:41:13,540,codex-vm.exe,supervisor,6
13:41:13,18488,codex-vm.exe,supervisor,6
13:41:13,17792,codex-vm.exe,guest,7
13:41:13,7752,codex-vm.exe,guest,7
13:41:13,12376,codex-vm.exe,guest,7
13:41:13,18836,codex-vm.exe,guest,7
13:41:13,17796,codex-vm.exe,guest,7
13:41:13,14480,codex-vm.exe,guest,7
13:41:13,19068,codex-vm.exe,guest,7
13:41:13,2236,codex-vm.exe,guest,6
13:41:20,13404,codex-vm.exe,supervisor,6
13:41:20,15432,codex-vm.exe,supervisor,6
13:41:20,10440,codex-vm.exe,supervisor,6
13:41:20,18500,codex-vm.exe,supervisor,6
13:41:20,7972,codex-vm.exe,supervisor,6
13:41:20,16896,codex-vm.exe,supervisor,6
13:41:20,540,codex-vm.exe,supervisor,6
13:41:20,18488,codex-vm.exe,supervisor,6
13:41:20,15152,codex-vm.exe,guest,7
13:41:20,18508,codex-vm.exe,guest,7
13:41:20,1516,codex-vm.exe,guest,64
13:41:20,9540,codex-vm.exe,guest,7
13:41:20,13236,codex-vm.exe,guest,7
13:41:20,8608,codex-vm.exe,guest,7
13:41:20,2276,codex-vm.exe,guest,7
13:41:20,16268,codex-vm.exe,guest,7
13:41:26,15432,codex-vm.exe,supervisor,6
13:41:26,10440,codex-vm.exe,supervisor,6
13:41:26,18500,codex-vm.exe,supervisor,6
13:41:26,7972,codex-vm.exe,supervisor,6
13:41:26,16896,codex-vm.exe,supervisor,6
13:41:26,540,codex-vm.exe,supervisor,6
13:41:26,18488,codex-vm.exe,supervisor,6
13:41:26,4220,codex-vm.exe,guest,7
13:41:26,10556,codex-vm.exe,guest,7
13:41:26,3416,codex-vm.exe,guest,7
13:41:26,11996,codex-vm.exe,guest,7
